CodeYear,Country,Code,Year,Population,GDPperCapita,MentalDisorderPrevalancePerc,EatingDisordersPrevalancePerc
RWA-2019,Rwanda,RWA,2019,12835029,2135.312516,13.08,0.1
KNA-2019,Saint Kitts and Nevis,KNA,2019,47739,27589.86416,15.1,0.3
LCA-2019,Saint Lucia,LCA,2019,178594,15134.05416,14.47,0.23
VCT-2019,Saint Vincent and the Grenadines,VCT,2019,104940,11915.18354,14.45,0.22
STP-2019,Sao Tome and Principe,STP,2019,214612,3648.030102,11,0.11
SAU-2019,Saudi Arabia,SAU,2019,35827364,51199.35047,13.7,0.29
SEN-2019,Senegal,SEN,2019,16000783,3190.754171,11,0.11
SRB-2019,Serbia,SRB,2019,7401056,17379.73,11.38,0.15
SYC-2019,Seychelles,SYC,2019,104386,31038.50172,10.86,0.16
SLE-2019,Sierra Leone,SLE,2019,8046830,1743.452689,12.33,0.09
SVK-2019,Slovakia,SVK,2019,5453932,32350.58206,11.21,0.2
SVN-2019,Slovenia,SVN,2019,2112905,39716.32605,11.63,0.2
ZAF-2019,South Africa,ZAF,2019,58087060,12789.65379,12.01,0.17
