CodeYear,Country,Code,Year,Prevalence - Mental disorders - Sex: Both - Age: Age-standardized (Percent),"GDP per capita (expenditure, multiple price benchmarks)",Population (historical estimates),Prevalence - Eating disorders - Sex: Both - Age: Age-standardized (Percent)
KWT-2019,Kuwait,KWT,2019,14.05,55942.79561,4441105,0.37
KGZ-2019,Kyrgyzstan,KGZ,2019,11.26,5015.446061,6323643,0.1
LAO-2019,Laos,LAO,2019,12.04,7359.113354,7212058,0.1
LVA-2019,Latvia,LVA,2019,12.62,31423.21545,1916552,0.18
LBN-2019,Lebanon,LBN,2019,16.44,14625.11198,5781912,0.24
LSO-2019,Lesotho,LSO,2019,13.31,2597.903057,2225710,0.11
LBR-2019,Liberia,LBR,2019,12.49,1227.80388,4985290,0.08
LTU-2019,Lithuania,LTU,2019,13.25,37497.88921,2849083,0.19
LUX-2019,Luxembourg,LUX,2019,14.91,112941.4533,619981,0.63
MDG-2019,Madagascar,MDG,2019,13.04,1497.184315,27533134,0.09
MWI-2019,Malawi,MWI,2019,12.5,1093.062919,18867340,0.08
MYS-2019,Malaysia,MYS,2019,12.23,27941.69737,32804024,0.16
MDV-2019,Maldives,MDV,2019,11.07,19138.38514,504518,0.13
MLI-2019,Mali,MLI,2019,10.57,2411.158121,20567430,0.09
MLT-2019,Malta,MLT,2019,15.72,50759.08302,503646,0.46
MRT-2019,Mauritania,MRT,2019,10.58,4283.262539,4383853,0.12
MUS-2019,Mauritius,MUS,2019,11.86,23199.73023,1296284,0.14
MEX-2019,Mexico,MEX,2019,12.26,19308.07396,125085312,0.26
MDA-2019,Moldova,MDA,2019,12.8,8685.856726,3109496,0.12
MNG-2019,Mongolia,MNG,2019,11.27,12832.9704,3232435,0.14
MNE-2019,Montenegro,MNE,2019,11.63,20554.23128,630403,0.17
MAR-2019,Morocco,MAR,2019,15.75,7724.827523,36304408,0.2
MOZ-2019,Mozambique,MOZ,2019,13.37,1169.86453,30285602,0.09
MMR-2019,Myanmar,MMR,2019,10.89,4819.9005,53040212,0.1
NAM-2019,Namibia,NAM,2019,11.09,10100.48815,2446648,0.17
NPL-2019,Nepal,NPL,2019,13.83,3103.988589,28832500,0.11
NLD-2019,Netherlands,NLD,2019,16.6,56051.19836,17363260,0.42
NZL-2019,New Zealand,NZL,2019,19.04,41935.31099,4959033,0.67
NIC-2019,Nicaragua,NIC,2019,13.27,5100.650249,6663919,0.18
NER-2019,Niger,NER,2019,11.63,1175.393952,23443400,0.08
NGA-2019,Nigeria,NGA,2019,10.72,4893.912405,203304496,0.13
MKD-2019,North Macedonia,MKD,2019,11.34,16149.42274,2114175,0.15
NOR-2019,Norway,NOR,2019,15.98,62544.03236,5348285,0.51
OMN-2019,Oman,OMN,2019,13.73,29506.57487,4602769,0.28
PAK-2019,Pakistan,PAK,2019,13.08,4787.469594,223293280,0.13
PSE-2019,Palestine,PSE,2019,18.14,6102.030222,4909775,0.17
PAN-2019,Panama,PAN,2019,12.18,29586.34318,4232538,0.3
PRY-2019,Paraguay,PRY,2019,15.84,12135.09958,6530029,0.23
PER-2019,Peru,PER,2019,13.82,12412.81823,32824864,0.31
PHL-2019,Philippines,PHL,2019,11.94,8204.645512,110380800,0.11
POL-2019,Poland,POL,2019,10.6,33248.03272,38493600,0.2
PRT-2019,Portugal,PRT,2019,18.45,34264.51863,10289921,0.46
QAT-2019,Qatar,QAT,2019,13.63,103445.1273,2807242,0.37
ROU-2019,Romania,ROU,2019,11.1,28828.93538,19524212,0.17
RUS-2019,Russia,RUS,2019,11.32,28773.27475,145742288,0.17
RWA-2019,Rwanda,RWA,2019,13.08,2135.312516,12835029,0.1
KNA-2019,Saint Kitts and Nevis,KNA,2019,15.1,27589.86416,47739,0.3
LCA-2019,Saint Lucia,LCA,2019,14.47,15134.05416,178594,0.23
VCT-2019,Saint Vincent and the Grenadines,VCT,2019,14.45,11915.18354,104940,0.22
STP-2019,Sao Tome and Principe,STP,2019,11,3648.030102,214612,0.11
SAU-2019,Saudi Arabia,SAU,2019,13.7,51199.35047,35827364,0.29
SEN-2019,Senegal,SEN,2019,11,3190.754171,16000783,0.11
SRB-2019,Serbia,SRB,2019,11.38,17379.73,7401056,0.15
SYC-2019,Seychelles,SYC,2019,10.86,31038.50172,104386,0.16
SLE-2019,Sierra Leone,SLE,2019,12.33,1743.452689,8046830,0.09
SVK-2019,Slovakia,SVK,2019,11.21,32350.58206,5453932,0.2
SVN-2019,Slovenia,SVN,2019,11.63,39716.32605,2112905,0.2
ZAF-2019,South Africa,ZAF,2019,12.01,12789.65379,58087060,0.17
