YearCode,Entity,Code,Year,GNI,EatingDisorderPrevalancePercent,DepressionPrevalancePerc,DeathsBySuicide,LifeSatisfactionRate
TZA-2019,Tanzania,TZA,2019,1100,0.11,4.77,0.91,3.62319994
THA-2015,Thailand,THA,2015,5710,0.13,3.01,1.55,5.938895226
THA-2016,Thailand,THA,2016,5700,0.13,3.01,1.53,6.011561871
THA-2017,Thailand,THA,2017,5970,0.14,3,1.51,6.02215147
THA-2018,Thailand,THA,2018,6610,0.14,3,1.47,5.884544373
THA-2019,Thailand,THA,2019,7250,0.14,2.99,1.43,5.984700203
TLS-2015,Timor,TLS,2015,2200,0.1,2.88,0.78,
TLS-2016,Timor,TLS,2016,1750,0.1,2.88,0.79,
TLS-2017,Timor,TLS,2017,1800,0.1,2.88,0.79,
TLS-2018,Timor,TLS,2018,1820,0.1,2.88,0.8,
TLS-2019,Timor,TLS,2019,2050,0.1,2.89,0.81,
TGO-2015,Togo,TGO,2015,640,0.09,4.55,0.95,4.360805035
TGO-2016,Togo,TGO,2016,670,0.09,4.56,1,4.022894859
TGO-2017,Togo,TGO,2017,720,0.09,4.57,1.05,4.179493904
TGO-2018,Togo,TGO,2018,880,0.09,4.57,1.08,
TGO-2019,Togo,TGO,2019,920,0.09,4.58,1.1,4.106800079
TKL-2015,Tokelau,TKL,2015,,0.1,3.27,1.18,
TKL-2016,Tokelau,TKL,2016,,0.1,3.26,1.18,
TKL-2017,Tokelau,TKL,2017,,0.11,3.26,1.18,
TKL-2018,Tokelau,TKL,2018,,0.11,3.26,1.18,
TKL-2019,Tokelau,TKL,2019,,0.11,3.26,1.18,
TON-2015,Tonga,TON,2015,4440,0.09,2.79,0.73,
TON-2016,Tonga,TON,2016,4410,0.1,2.79,0.73,
TON-2017,Tonga,TON,2017,4590,0.1,2.79,0.73,
TON-2018,Tonga,TON,2018,4800,0.1,2.8,0.73,
TON-2019,Tonga,TON,2019,5150,0.1,2.82,0.73,
TTO-2015,Trinidad and Tobago,TTO,2015,19030,0.3,4,1.46,6.191859722
TTO-2016,Trinidad and Tobago,TTO,2016,16870,0.3,3.99,1.41,
TTO-2017,Trinidad and Tobago,TTO,2017,16120,0.3,3.99,1.38,
TTO-2018,Trinidad and Tobago,TTO,2018,16120,0.3,4,1.35,
TTO-2019,Trinidad and Tobago,TTO,2019,16740,0.3,4.03,1.31,
TUN-2015,Tunisia,TUN,2015,4190,0.21,5.28,0.64,4.124342918
TUN-2016,Tunisia,TUN,2016,3980,0.21,5.27,0.63,4.741132259
TUN-2017,Tunisia,TUN,2017,3750,0.22,5.27,0.62,4.315479755
TUN-2018,Tunisia,TUN,2018,3760,0.22,5.29,0.61,4.730811119
TUN-2019,Tunisia,TUN,2019,3620,0.22,5.34,0.61,4.59649992
TUR-2015,Turkey,TUR,2015,12030,0.29,4.27,0.56,5.607262135
TUR-2016,Turkey,TUR,2016,11260,0.3,4.21,0.56,5.185689449
TUR-2017,Turkey,TUR,2017,10970,0.3,4.16,0.56,4.87207365
TUR-2018,Turkey,TUR,2018,10510,0.31,4.15,0.56,4.861554146
TUR-2019,Turkey,TUR,2019,9690,0.31,4.16,0.57,4.947599888
TKM-2015,Turkmenistan,TKM,2015,7030,0.15,3.26,1.39,5.229148865
TKM-2016,Turkmenistan,TKM,2016,6830,0.15,3.25,1.38,4.620601654
TKM-2017,Turkmenistan,TKM,2017,6380,0.16,3.25,1.36,5.474299908
TKM-2018,Turkmenistan,TKM,2018,6740,0.16,3.25,1.33,
TKM-2019,Turkmenistan,TKM,2019,7220,0.16,3.25,1.31,5.066400051
TUV-2015,Tuvalu,TUV,2015,5580,0.08,3.26,1.74,
TUV-2016,Tuvalu,TUV,2016,5300,0.08,3.25,1.75,
TUV-2017,Tuvalu,TUV,2017,5070,0.08,3.25,1.76,
TUV-2018,Tuvalu,TUV,2018,5820,0.08,3.25,1.76,
TUV-2019,Tuvalu,TUV,2019,6240,0.09,3.25,1.76,
UGA-2015,Uganda,UGA,2015,830,0.09,6.69,0.76,4.000516891
UGA-2016,Uganda,UGA,2016,800,0.1,6.7,0.77,4.321714878
UGA-2017,Uganda,UGA,2017,740,0.1,6.7,0.81,4.948051453
UGA-2018,Uganda,UGA,2018,750,0.1,6.7,0.86,4.640909672
UGA-2019,Uganda,UGA,2019,780,0.1,6.69,0.89,4.636499882
UKR-2015,Ukraine,UKR,2015,2800,0.13,4.18,2.14,4.311067104
UKR-2016,Ukraine,UKR,2016,2360,0.13,4.19,2.15,4.661909103
UKR-2017,Ukraine,UKR,2017,2360,0.13,4.2,2.09,4.701762199
UKR-2018,Ukraine,UKR,2018,2750,0.13,4.2,1.99,5.269675732
UKR-2019,Ukraine,UKR,2019,3310,0.13,4.2,1.96,4.874800205
ARE-2015,United Arab Emirates,ARE,2015,42870,0.3,3.72,2.81,7.039419651
ARE-2016,United Arab Emirates,ARE,2016,40550,0.31,3.72,2.66,6.603743553
ARE-2017,United Arab Emirates,ARE,2017,39280,0.31,3.72,2.51,6.710782528
ARE-2018,United Arab Emirates,ARE,2018,41470,0.31,3.73,2.39,6.458392143
ARE-2019,United Arab Emirates,ARE,2019,43830,0.32,3.76,2.28,6.560500145
GBR-2015,United Kingdom,GBR,2015,44730,0.46,4.57,0.94,7.103273392
GBR-2016,United Kingdom,GBR,2016,43460,0.46,4.53,0.95,7.233445168
GBR-2017,United Kingdom,GBR,2017,41880,0.46,4.5,0.95,7.157151222
GBR-2018,United Kingdom,GBR,2018,42410,0.47,4.5,0.92,6.798177242
GBR-2019,United Kingdom,GBR,2019,43460,0.47,4.5,0.9,7.063600063
USA-2015,United States,USA,2015,56620,0.45,4.75,1.71,6.9917593
USA-2016,United States,USA,2016,57140,0.46,4.74,1.72,6.882684708
USA-2017,United States,USA,2017,59250,0.46,4.74,1.68,6.943701267
USA-2018,United States,USA,2018,63490,0.46,4.73,1.6,7.028088093
USA-2019,United States,USA,2019,65970,0.46,4.73,1.54,6.951499939
VIR-2015,United States Virgin Islands,VIR,2015,,0.38,3.49,0.73,
VIR-2016,United States Virgin Islands,VIR,2016,,0.37,3.49,0.72,
VIR-2017,United States Virgin Islands,VIR,2017,,0.37,3.49,0.7,
VIR-2018,United States Virgin Islands,VIR,2018,,0.37,3.51,0.7,
VIR-2019,United States Virgin Islands,VIR,2019,,0.37,3.55,0.69,
URY-2015,Uruguay,URY,2015,15620,0.37,3.11,2.1,6.336009979
URY-2016,Uruguay,URY,2016,15440,0.37,3.1,2.11,6.371714592
URY-2017,Uruguay,URY,2017,15920,0.38,3.09,2.07,6.600337029
URY-2018,Uruguay,URY,2018,17280,0.38,3.09,2.03,6.309681416
URY-2019,Uruguay,URY,2019,17770,0.38,3.07,1.97,6.431399822
UZB-2015,Uzbekistan,UZB,2015,2740,0.12,3.35,1.87,6.421447754
UZB-2016,Uzbekistan,UZB,2016,2790,0.12,3.35,1.92,6.205460072
UZB-2017,Uzbekistan,UZB,2017,2470,0.12,3.35,1.89,6.154049397
UZB-2018,Uzbekistan,UZB,2018,2110,0.12,3.34,1.87,
UZB-2019,Uzbekistan,UZB,2019,1870,0.12,3.34,1.86,6.178800106
VUT-2015,Vanuatu,VUT,2015,2820,0.08,3.05,2.36,
VUT-2016,Vanuatu,VUT,2016,2830,0.08,3.05,2.37,
VUT-2017,Vanuatu,VUT,2017,2900,0.08,3.05,2.36,
VUT-2018,Vanuatu,VUT,2018,3170,0.08,3.05,2.33,
VUT-2019,Vanuatu,VUT,2019,3440,0.08,3.06,2.28,
VEN-2015,Venezuela,VEN,2015,,0.24,3.34,1.5,5.070750713
VEN-2016,Venezuela,VEN,2016,,0.24,3.35,1.41,5.005663395
VEN-2017,Venezuela,VEN,2017,,0.23,3.36,1.34,5.080803394
VEN-2018,Venezuela,VEN,2018,,0.23,3.36,1.31,4.573829651
VEN-2019,Venezuela,VEN,2019,,0.22,3.36,1.23,4.892199993
VNM-2015,Vietnam,VNM,2015,2460,0.09,2.58,1.3,5.175278664
VNM-2016,Vietnam,VNM,2016,2570,0.09,2.58,1.3,5.295547009
VNM-2017,Vietnam,VNM,2017,2700,0.1,2.58,1.3,5.467451096
VNM-2018,Vietnam,VNM,2018,3030,0.1,2.58,1.29,
VNM-2019,Vietnam,VNM,2019,3280,0.1,2.58,1.28,5.41079998
-2015,Wales,,2015,,0.44,4.52,0.94,
-2016,Wales,,2016,,0.44,4.53,0.95,
-2017,Wales,,2017,,0.44,4.54,0.96,
-2018,Wales,,2018,,0.45,4.54,0.93,
-2019,Wales,,2019,,0.45,4.55,0.91,
YEM-2015,Yemen,YEM,2015,1200,0.14,5.04,0.82,3.253560066
YEM-2016,Yemen,YEM,2016,1160,0.14,5.03,0.81,3.057513952
YEM-2017,Yemen,YEM,2017,1080,0.14,5.02,0.82,4.196912766
YEM-2018,Yemen,YEM,2018,910,0.13,5.03,0.8,
YEM-2019,Yemen,YEM,2019,820,0.13,5.04,0.89,3.657900095
ZMB-2015,Zambia,ZMB,2015,1580,0.11,4.27,1,3.932777405
ZMB-2016,Zambia,ZMB,2016,1370,0.11,4.28,1.04,4.041488171
ZMB-2017,Zambia,ZMB,2017,1300,0.12,4.29,1.07,3.306796551
ZMB-2018,Zambia,ZMB,2018,1440,0.12,4.3,1.11,4.837992191
ZMB-2019,Zambia,ZMB,2019,1430,0.12,4.3,1.13,4.073400021
ZWE-2015,Zimbabwe,ZWE,2015,1390,0.1,3.55,1.68,3.63830018
ZWE-2016,Zimbabwe,ZWE,2016,1390,0.1,3.56,1.75,3.616479874
ZWE-2017,Zimbabwe,ZWE,2017,1350,0.1,3.56,1.8,2.693523169
ZWE-2018,Zimbabwe,ZWE,2018,1350,0.1,3.56,1.87,3.159802198
ZWE-2019,Zimbabwe,ZWE,2019,1210,0.1,3.55,1.89,3.144799948
