CodeYear,Year,Country,Code,SuicideRate,Population,CostOfHealthLiving,ShareMenWithMental,ShareWomenWithMental,GDPperCapita,GrossNetIncome,MentalDisorderPrevalancePerc,EatingDisordersPrevalancePerc,HealthExpenditurePerCapita
COD-2019,2019,Democratic Republic of Congo,COD,6.699999809,89906896,2.127,13.27,13.97,1026.167646,530,13.64,0.08,40.61
DNK-2019,2019,Denmark,DNK,10.69999981,5795879,2.432,12.75,15.36,55898.20363,63460,14.1,0.52,6015.46
DJI-2019,2019,Djibouti,DJI,9.600000381,1073999,2.985,11.71,12.4,7123.102907,3110,12.04,0.11,104.14
DMA-2019,2019,Dominica,DMA,,71446,4.236,14.38,14.17,11699.02118,8210,14.28,0.22,675.37
DOM-2019,2019,Dominican Republic,DOM,4.900000095,10881886,3.744,14.85,15.19,17766.40306,8100,15.04,0.24,1140.04
ECU-2019,2019,Ecuador,ECU,7.599999905,17343742,2.861,14.01,15.09,11238.18377,6090,14.59,0.3,934.52
EGY-2019,2019,Egypt,EGY,3,105618672,3.503,13.93,15.29,10975.89676,2690,14.58,0.21,582.23
SLV-2019,2019,El Salvador,SLV,6.099999905,6280222,,12.54,13.7,8331.298521,3980,13.24,0.21,656.71
GNQ-2019,2019,Equatorial Guinea,GNQ,7.900000095,1553037,3.635,12.61,13.71,22214.04612,6320,13.21,0.22,607.43
EST-2019,2019,Estonia,EST,14.89999962,1327039,3.17,11.75,12.49,37120.73737,23050,12.19,0.19,2616.81
SWZ-2019,2019,Eswatini,SWZ,29.39999962,1169620,3.395,11.68,12.05,8434.862219,3710,11.93,0.16,610.49
ETH-2019,2019,Ethiopia,ETH,5.400000095,114120592,3.29,12.17,12.77,2552.113646,850,12.48,0.09,75.11
FJI-2019,2019,Fiji,FJI,9,918472,3.858,11.21,11.82,13748.43825,5800,11.54,0.11,545.31
FIN-2019,2019,Finland,FIN,15.30000019,5521539,2.611,15.06,14.85,47181.84804,49940,14.96,0.53,4710.22
FRA-2019,2019,France,FRA,13.80000019,64399760,3.067,14.94,18.14,44822.99712,42550,16.63,0.52,5492.53
GAB-2019,2019,Gabon,GAB,8.399999619,2242788,3.485,12.78,13.4,15359.09339,7170,13.11,0.19,432.19
GMB-2019,2019,Gambia,GMB,4.800000191,2508882,3.054,11.32,14.65,2178.527253,750,13.05,0.1,88.71
GEO-2019,2019,Georgia,GEO,9.199999809,3770814,,10.99,10.97,14858.58035,4690,11.06,0.14,970.2
DEU-2019,2019,Germany,DEU,12.30000019,83148144,2.881,13.39,16.57,51592.60005,49190,15,0.47,6738.67
GHA-2019,2019,Ghana,GHA,6.599999905,31522294,3.941,11.11,11.61,5546.511377,2230,11.4,0.12,193.22
GRC-2019,2019,Greece,GRC,5.099999905,10574026,3.065,15.85,18.11,28856.02518,19670,17.05,0.47,2418.81
GRD-2019,2019,Grenada,GRD,0.6999999881,122737,5.625,14.52,14.18,16101.23367,9750,14.37,0.23,879.51
GTM-2019,2019,Guatemala,GTM,5.900000095,17106338,,12.37,13.87,7919.762243,4610,13.23,0.2,529.12
GIN-2019,2019,Guinea,GIN,7,12877537,4.001,11.3,12.33,2300.715828,950,11.85,0.09,119.59
GNB-2019,2019,Guinea-Bissau,GNB,7,1970460,3.335,11.22,12.21,1698.613252,800,11.77,0.09,186.43
GUY-2019,2019,Guyana,GUY,40.29999924,798761,4.828,15.55,15.99,13335.39418,6630,15.81,0.19,673.57
HTI-2019,2019,Haiti,HTI,9.600000381,11160441,4.275,14.91,15.25,1530.86462,1390,15.13,0.12,143.45
HND-2019,2019,Honduras,HND,2.099999905,9958832,3.404,12.12,13.16,5296.050292,2390,12.71,0.17,435.68
HUN-2019,2019,Hungary,HUN,16.60000038,9771799,3.368,10.71,11.76,33265.39979,16520,11.31,0.2,2155.91
ISL-2019,2019,Iceland,ISL,11.89999962,360787,2.234,13.97,15.21,58658.00136,72900,14.6,0.5,5636.41
IND-2019,2019,India,IND,12.69999981,1383112064,2.877,13.39,14.06,6546.714556,2100,13.73,0.13,211
IDN-2019,2019,Indonesia,IDN,2.400000095,269582880,4.268,10.11,11.21,11471.34313,4050,10.68,0.12,358.29
IRN-2019,2019,Iran,IRN,5.199999809,86564208,3.642,17.92,19.84,13060.4268,4260,18.89,0.27,868.18
IRQ-2019,2019,Iraq,IRQ,3.599999905,41563524,3.534,13.75,16.07,11483.58222,5780,14.91,0.22,483.34
IRL-2019,2019,Ireland,IRL,9.600000381,4896021,2.269,16.67,18.43,102353.6314,63300,17.61,0.5,6010.07
ISR-2019,2019,Israel,ISR,5.300000191,8607922,2.454,14.31,14.59,42728.17939,43540,14.48,0.42,3326.25
ITA-2019,2019,Italy,ITA,6.699999809,59727936,3.012,13.64,16.31,41426.94291,34940,15.03,0.59,3998.01
JAM-2019,2019,Jamaica,JAM,2.400000095,2813776,6.398,14.13,13.86,8945.276846,5250,14.02,0.2,597.85
JPN-2019,2019,Japan,JPN,15.30000019,125791680,5.609,11.69,9.45,39636.89161,42010,10.58,0.42,4587.03
JOR-2019,2019,Jordan,JOR,1.600000024,10698682,3.5,14.05,16.23,10194.8147,4410,15.04,0.21,797.45
KAZ-2019,2019,Kazakhstan,KAZ,17.60000038,18754260,2.537,10.5,10.57,28757.45084,8820,10.61,0.17,765.49
KEN-2019,2019,Kenya,KEN,6.099999905,50951452,2.907,11.93,12.69,4137.587956,1830,12.34,0.11,207.62
KWT-2019,2019,Kuwait,KWT,2.900000095,4441105,3.468,13.27,14.99,55942.79561,36200,14.05,0.37,2861.19
KGZ-2019,2019,Kyrgyzstan,KGZ,7.400000095,6323643,2.991,11.25,11.15,5015.446061,1240,11.26,0.1,260.35
LAO-2019,2019,Laos,LAO,5.400000095,7212058,3.959,11.68,12.37,7359.113354,2540,12.04,0.1,212.37
LVA-2019,2019,Latvia,LVA,20.10000038,1916552,3.132,12.23,12.85,31423.21545,17810,12.62,0.18,2098.45
LBN-2019,2019,Lebanon,LBN,2.799999952,5781912,,15.16,17.5,14625.11198,7280,16.44,0.24,1288.81
LSO-2019,2019,Lesotho,LSO,72.40000153,2225710,4.01,12.51,13.91,2597.903057,1330,13.31,0.11,313.61
LBR-2019,2019,Liberia,LBR,4.5,4985290,3.847,11.32,13.69,1227.80388,610,12.49,0.08,126.02
LTU-2019,2019,Lithuania,LTU,26.10000038,2849083,3.039,12.68,13.63,37497.88921,19060,13.25,0.19,2796.82
LUX-2019,2019,Luxembourg,LUX,11.30000019,619981,2.6,14.14,15.62,112941.4533,77110,14.91,0.63,6756.88
MDG-2019,2019,Madagascar,MDG,5.5,27533134,3.154,12.59,13.45,1497.184315,520,13.04,0.09,65.23
MWI-2019,2019,Malawi,MWI,5.400000095,18867340,2.989,12.04,12.85,1093.062919,560,12.5,0.08,81.7
MYS-2019,2019,Malaysia,MYS,5.699999809,32804024,3.412,11.37,13.13,27941.69737,11260,12.23,0.16,1132.99
MDV-2019,2019,Maldives,MDV,2.700000048,504518,3.662,10.57,11.9,19138.38514,9640,11.07,0.13,1639.8
MLI-2019,2019,Mali,MLI,4.099999905,20567430,2.96,10.35,10.79,2411.158121,860,10.57,0.09,94.55
MLT-2019,2019,Malta,MLT,6.099999905,503646,3.698,14.73,16.66,50759.08302,29330,15.72,0.46,4039.61
MRT-2019,2019,Mauritania,MRT,3.099999905,4383853,3.6541,10.7,10.46,4283.262539,1720,10.58,0.12,187.05
MUS-2019,2019,Mauritius,MUS,9.5,1296284,3.439,10.89,12.77,23199.73023,12840,11.86,0.14,1475.96
MEX-2019,2019,Mexico,MEX,5.300000191,125085312,3.075,11.37,13.02,19308.07396,9470,12.26,0.26,1110.94
MDA-2019,2019,Moldova,MDA,14.69999981,3109496,2.687,12.43,13.04,8685.856726,4580,12.8,0.12,860.19
MNG-2019,2019,Mongolia,MNG,17.89999962,3232435,4.901,11.11,11.3,12832.9704,3850,11.27,0.14,484.39
MNE-2019,2019,Montenegro,MNE,21,630403,3.509,10.83,12.31,20554.23128,9140,11.63,0.17,1983.61
MAR-2019,2019,Morocco,MAR,7.199999809,36304408,2.759,14.9,16.54,7724.827523,3200,15.75,0.2,424.5
MOZ-2019,2019,Mozambique,MOZ,13.60000038,30285602,3.057,12.91,13.71,1169.86453,490,13.37,0.09,104.82
MMR-2019,2019,Myanmar,MMR,2.900000095,53040212,3.861,10.3,11.35,4819.9005,1270,10.89,0.1,226.83
NAM-2019,2019,Namibia,NAM,9.699999809,2446648,3.378,10.97,11.15,10100.48815,5170,11.09,0.17,867.35
NPL-2019,2019,Nepal,NPL,9,28832500,4.222,13.6,13.96,3103.988589,1230,13.83,0.11,176.96
NLD-2019,2019,Netherlands,NLD,11.80000019,17363260,2.844,15.76,17.35,56051.19836,53230,16.6,0.42,6248.15
NZL-2019,2019,New Zealand,NZL,11,4959033,2.692,17.77,20.13,41935.31099,43050,19.04,0.67,4439.35
NIC-2019,2019,Nicaragua,NIC,4.400000095,6663919,3.279,12.74,13.68,5100.650249,1890,13.27,0.18,474.52
NER-2019,2019,Niger,NER,5.300000191,23443400,2.792,11.2,12.01,1175.393952,590,11.63,0.08,72.48
NGA-2019,2019,Nigeria,NGA,3.5,203304496,3.87,10.43,10.95,4893.912405,2030,10.72,0.13,162.31
MKD-2019,2019,North Macedonia,MKD,9.399999619,2114175,3.336,10.69,11.96,16149.42274,5890,11.34,0.15,1313.56
NOR-2019,2019,Norway,NOR,11.80000019,5348285,3.356,15.27,16.67,62544.03236,81670,15.98,0.51,7217.39
OMN-2019,2019,Oman,OMN,4.900000095,4602769,2.921,13.24,14.95,29506.57487,16430,13.73,0.28,1160.78
PAK-2019,2019,Pakistan,PAK,8.899999619,223293280,3.46,12.91,13.25,4787.469594,1620,13.08,0.13,165.55
PSE-2019,2019,Palestine,PSE,,4909775,3.493,17.77,18.48,6102.030222,,18.14,0.17,
PAN-2019,2019,Panama,PAN,2.900000095,4232538,4.382,11.87,12.47,29586.34318,14920,12.18,0.3,2490.95
PRY-2019,2019,Paraguay,PRY,6,6530029,3.519,14.08,17.53,12135.09958,5510,15.84,0.23,950.14
PER-2019,2019,Peru,PER,2.799999952,32824864,3.248,13.31,14.25,12412.81823,6840,13.82,0.31,711.63
PHL-2019,2019,Philippines,PHL,2.200000048,110380800,4.054,11.06,12.78,8204.645512,3850,11.94,0.11,379.24
POL-2019,2019,Poland,POL,11.30000019,38493600,3.038,10.54,10.59,33248.03272,15360,10.6,0.2,2206.54
PRT-2019,2019,Portugal,PRT,11.5,10289921,2.579,16.61,20.02,34264.51863,23200,18.45,0.46,3517.72
QAT-2019,2019,Qatar,QAT,5.800000191,2807242,2.484,13.46,15.13,103445.1273,61180,13.63,0.37,2736.82
ROU-2019,2019,Romania,ROU,9.699999809,19524212,3.01,10.6,11.51,28828.93538,12620,11.1,0.17,1906.59
RUS-2019,2019,Russia,RUS,25.10000038,145742288,3.264,11.29,11.24,28773.27475,11280,11.32,0.17,1704.04
RWA-2019,2019,Rwanda,RWA,5.599999905,12835029,2.537,12.3,13.68,2135.312516,830,13.08,0.1,145.74
KNA-2019,2019,Saint Kitts and Nevis,KNA,,47739,3.31,14.97,15.21,27589.86416,,15.1,0.3,1506.51
LCA-2019,2019,Saint Lucia,LCA,7.900000095,178594,3.517,14.62,14.26,15134.05416,,14.47,0.23,697.71
VCT-2019,2019,Saint Vincent and the Grenadines,VCT,1,104940,4.293,14.7,14.19,11915.18354,,14.45,0.22,620.3
STP-2019,2019,Sao Tome and Principe,STP,1.5,214612,3.463,10.61,11.36,3648.030102,1950,11,0.11,226.81
SAU-2019,2019,Saudi Arabia,SAU,6,35827364,3.888,13.11,14.67,51199.35047,23220,13.7,0.29,2789.56
SEN-2019,2019,Senegal,SEN,6,16000783,2.278,10.88,11.08,3190.754171,1440,11,0.11,144.8
SRB-2019,2019,Serbia,SRB,11.39999962,7401056,4.174,10.73,11.92,17379.73,7040,11.38,0.15,1686.07
SYC-2019,2019,Seychelles,SYC,8.100000381,104386,3.923,10.53,11.24,31038.50172,16680,10.86,0.16,1468.72
SLE-2019,2019,Sierra Leone,SLE,6.699999809,8046830,2.847,11.75,12.9,1743.452689,530,12.33,0.09,157
SVK-2019,2019,Slovakia,SVK,12.10000038,5453932,3.105,10.46,11.82,32350.58206,19250,11.21,0.2,2267.09
SVN-2019,2019,Slovenia,SVN,19.79999924,2112905,2.916,10.83,12.36,39716.32605,25980,11.63,0.2,3629.01
ZAF-2019,2019,South Africa,ZAF,23.5,58087060,4.198,11.16,12.69,12789.65379,6670,12.01,0.17,1187.33
