CodeYear,Entity,Code,Year,HealthExpenditurePerCapita,PrevalenceEatingDisorderPerc,PrevalanceMentalDisorderPerc,GDP per capita,Population
LBR-2018,Liberia,LBR,2018,138.61,0.08,12.67,1498.154668,4889396
LBR-2019,Liberia,LBR,2019,126.02,0.08,12.49,1227.80388,4985290
LTU-2015,Lithuania,LTU,2015,1861.01,0.18,13.24,29854.32182,2963764
LTU-2016,Lithuania,LTU,2016,2038.2,0.18,13.27,31236.43823,2933676
LTU-2017,Lithuania,LTU,2017,2178.09,0.18,13.29,33617.14785,2904452
LTU-2018,Lithuania,LTU,2018,2443.35,0.18,13.27,35036.07267,2876128
LTU-2019,Lithuania,LTU,2019,2796.82,0.19,13.25,37497.88921,2849083
LUX-2015,Luxembourg,LUX,2015,5545.2,0.62,14.93,106534.1617,569415
LUX-2016,Luxembourg,LUX,2016,5806.3,0.62,14.91,109034.3064,583355
LUX-2017,Luxembourg,LUX,2017,5980.64,0.62,14.9,110697.7504,596290
LUX-2018,Luxembourg,LUX,2018,6423.08,0.62,14.9,111703.5774,607920
LUX-2019,Luxembourg,LUX,2019,6756.88,0.63,14.91,112941.4533,619981
MDG-2015,Madagascar,MDG,2015,76.91,0.09,12.97,1610.99216,24850912
MDG-2016,Madagascar,MDG,2016,84.46,0.09,13,1654.738162,25501944
MDG-2017,Madagascar,MDG,2017,76.75,0.09,13.03,1608.783965,26169540
MDG-2018,Madagascar,MDG,2018,69.98,0.09,13.04,1525.557924,26846544
MDG-2019,Madagascar,MDG,2019,65.23,0.09,13.04,1497.184315,27533134
MWI-2015,Malawi,MWI,2015,95.53,0.08,12.48,1052.349902,16938944
MWI-2016,Malawi,MWI,2016,112.73,0.08,12.49,992.6155136,17405624
MWI-2017,Malawi,MWI,2017,111.65,0.08,12.5,1041.569671,17881172
MWI-2018,Malawi,MWI,2018,104.85,0.08,12.5,1054.465505,18367886
MWI-2019,Malawi,MWI,2019,81.7,0.08,12.5,1093.062919,18867340
MYS-2015,Malaysia,MYS,2015,946.98,0.15,12.22,25183.97417,31068834
MYS-2016,Malaysia,MYS,2016,941.55,0.15,12.22,25439.98256,31526414
MYS-2017,Malaysia,MYS,2017,987.58,0.16,12.21,26196.70547,31975812
MYS-2018,Malaysia,MYS,2018,1058.13,0.16,12.22,27016.06654,32399270
MYS-2019,Malaysia,MYS,2019,1132.99,0.16,12.23,27941.69737,32804024
MDV-2015,Maldives,MDV,2015,1457.26,0.12,11.16,16956.25724,435590
MDV-2016,Maldives,MDV,2016,1790.04,0.12,11.13,17622.33105,454263
MDV-2017,Maldives,MDV,2017,1668.81,0.13,11.11,18143.52762,472449
MDV-2018,Maldives,MDV,2018,1473.38,0.13,11.09,18194.72191,489773
MDV-2019,Maldives,MDV,2019,1639.8,0.13,11.07,19138.38514,504518
MLI-2015,Mali,MLI,2015,83.57,0.09,10.49,2036.620897,18112910
MLI-2016,Mali,MLI,2016,82.61,0.09,10.51,2161.974415,18700108
MLI-2017,Mali,MLI,2017,82.55,0.09,10.53,2162.142713,19311356
MLI-2018,Mali,MLI,2018,87.32,0.09,10.55,2282.406162,19934304
MLI-2019,Mali,MLI,2019,94.55,0.09,10.57,2411.158121,20567430
MLT-2015,Malta,MLT,2015,3373.24,0.44,15.67,40261.56006,456585
MLT-2016,Malta,MLT,2016,3599.07,0.44,15.64,42551.26834,467717
MLT-2017,Malta,MLT,2017,3873.25,0.45,15.62,44941.42708,479507
MLT-2018,Malta,MLT,2018,4121.23,0.46,15.65,48378.03046,491590
MLT-2019,Malta,MLT,2019,4039.61,0.46,15.72,50759.08302,503646
MHL-2015,Marshall Islands,MHL,2015,513.86,0.08,11.85,,49426
MHL-2016,Marshall Islands,MHL,2016,532.44,0.08,11.84,,48354
MHL-2017,Marshall Islands,MHL,2017,517.25,0.08,11.83,,47204
MHL-2018,Marshall Islands,MHL,2018,574.38,0.09,11.84,,46012
MHL-2019,Marshall Islands,MHL,2019,592.61,0.09,11.86,,44750
MRT-2015,Mauritania,MRT,2015,154.3,0.11,10.54,3973.637937,3946225
MRT-2016,Mauritania,MRT,2016,145.54,0.12,10.55,4406.653687,4051896
MRT-2017,Mauritania,MRT,2017,169.44,0.12,10.56,4548.511831,4160018
MRT-2018,Mauritania,MRT,2018,184.87,0.12,10.57,4530.282529,4270717
MRT-2019,Mauritania,MRT,2019,187.05,0.12,10.58,4283.262539,4383853
MUS-2015,Mauritius,MUS,2015,1098.83,0.14,11.92,20341.76704,1293159
MUS-2016,Mauritius,MUS,2016,1182.88,0.14,11.89,21720.03344,1293909
MUS-2017,Mauritius,MUS,2017,1244.21,0.14,11.86,22098.83989,1294743
MUS-2018,Mauritius,MUS,2018,1332.72,0.14,11.85,22530.82743,1295386
MUS-2019,Mauritius,MUS,2019,1475.96,0.14,11.86,23199.73023,1296284
MEX-2015,Mexico,MEX,2015,1047.35,0.25,12.19,18906.10278,120149896
MEX-2016,Mexico,MEX,2016,1073.13,0.25,12.22,19310.92035,121519224
MEX-2017,Mexico,MEX,2017,1076.31,0.26,12.25,19277.26267,122839256
MEX-2018,Mexico,MEX,2018,1089.61,0.26,12.26,19580.32586,124013864
MEX-2019,Mexico,MEX,2019,1110.94,0.26,12.26,19308.07396,125085312
FSM-2015,Micronesia (country),FSM,2015,366.98,0.08,11.93,,109477
FSM-2016,Micronesia (country),FSM,2016,390.33,0.08,11.92,,109934
FSM-2017,Micronesia (country),FSM,2017,375.87,0.08,11.91,,110441
FSM-2018,Micronesia (country),FSM,2018,365.43,0.08,11.91,,110945
FSM-2019,Micronesia (country),FSM,2019,364.21,0.08,11.93,,111392
MDA-2015,Moldova,MDA,2015,631.46,0.11,12.9,6735.379895,3277390
MDA-2016,Moldova,MDA,2016,630.58,0.11,12.88,7245.589191,3225125
MDA-2017,Moldova,MDA,2017,809.84,0.11,12.86,8219.134751,3180515
MDA-2018,Moldova,MDA,2018,827.61,0.12,12.83,8414.223133,3141839
MDA-2019,Moldova,MDA,2019,860.19,0.12,12.8,8685.856726,3109496
MCO-2015,Monaco,MCO,2015,3729.56,0.91,16.02,,36781
MCO-2016,Monaco,MCO,2016,3102.07,0.93,16.03,,37090
MCO-2017,Monaco,MCO,2017,3057.19,0.94,16.03,,37069
MCO-2018,Monaco,MCO,2018,2982.88,0.95,16.04,,37050
MCO-2019,Monaco,MCO,2019,3079.91,0.96,16.05,,37059
MNG-2015,Mongolia,MNG,2015,456.35,0.13,11.14,11190.68096,2964756
MNG-2016,Mongolia,MNG,2016,475.21,0.14,11.24,11032.78249,3029559
MNG-2017,Mongolia,MNG,2017,453.04,0.14,11.34,11170.02842,3096033
MNG-2018,Mongolia,MNG,2018,470.46,0.14,11.32,11137.93513,3163994
MNG-2019,Mongolia,MNG,2019,484.39,0.14,11.27,12832.9704,3232435
MNE-2015,Montenegro,MNE,2015,1462.45,0.16,11.66,16213.65462,633969
MNE-2016,Montenegro,MNE,2016,1558.64,0.16,11.65,17129.34441,633264
MNE-2017,Montenegro,MNE,2017,1563.1,0.16,11.65,18108.96221,632445
MNE-2018,Montenegro,MNE,2018,1838.01,0.16,11.64,19249.10401,631459
MNE-2019,Montenegro,MNE,2019,1983.61,0.17,11.63,20554.23128,630403
Mar-2015,Morocco,MAR,2015,361.25,0.19,15.78,7329.517938,34680456
Mar-2016,Morocco,MAR,2016,378.43,0.19,15.76,7240.812474,35107272
Mar-2017,Morocco,MAR,2017,388.71,0.19,15.74,7299.932665,35528116
Mar-2018,Morocco,MAR,2018,413.17,0.19,15.73,7499.701352,35927516
Mar-2019,Morocco,MAR,2019,424.5,0.2,15.75,7724.827523,36304408
MOZ-2015,Mozambique,MOZ,2015,86.73,0.08,13.34,1270.573661,26843252
MOZ-2016,Mozambique,MOZ,2016,97.81,0.08,13.33,1229.506787,27696500
MOZ-2017,Mozambique,MOZ,2017,99.6,0.08,13.32,1172.249904,28569448
MOZ-2018,Mozambique,MOZ,2018,106.91,0.08,13.34,1128.459665,29423882
MOZ-2019,Mozambique,MOZ,2019,104.82,0.09,13.37,1169.86453,30285602
MMR-2015,Myanmar,MMR,2015,224.89,0.09,10.96,4554.714007,51483956
MMR-2016,Myanmar,MMR,2016,206.13,0.09,10.92,4503.301463,51892352
MMR-2017,Myanmar,MMR,2017,214.63,0.09,10.89,4610.221987,52288344
MMR-2018,Myanmar,MMR,2018,222.52,0.1,10.88,4916.028955,52666016
MMR-2019,Myanmar,MMR,2019,226.83,0.1,10.89,4819.9005,53040212
NAM-2015,Namibia,NAM,2015,1061.32,0.16,11.08,10830.13239,2282709
NAM-2016,Namibia,NAM,2016,972.05,0.16,11.09,10584.19937,2323351
NAM-2017,Namibia,NAM,2017,887.53,0.16,11.1,10303.60901,2364540
NAM-2018,Namibia,NAM,2018,859.92,0.17,11.1,10260.03115,2405682
NAM-2019,Namibia,NAM,2019,867.35,0.17,11.09,10100.48815,2446648
NRU-2015,Nauru,NRU,2015,1803.03,0.11,11.86,,11207
NRU-2016,Nauru,NRU,2016,1462.48,0.11,11.82,,11463
NRU-2017,Nauru,NRU,2017,1498.89,0.11,11.79,,11708
NRU-2018,Nauru,NRU,2018,1207.64,0.12,11.78,,11949
NRU-2019,Nauru,NRU,2019,1389.73,0.12,11.79,,12156
NPL-2015,Nepal,NPL,2015,163.78,0.1,13.83,2501.995151,27610328
NPL-2016,Nepal,NPL,2016,162.15,0.1,13.81,2457.327928,27861186
NPL-2017,Nepal,NPL,2017,168.34,0.11,13.81,2841.282959,28183424
NPL-2018,Nepal,NPL,2018,171.21,0.11,13.81,2957.72482,28506718
NPL-2019,Nepal,NPL,2019,176.96,0.11,13.83,3103.988589,28832500
NLD-2015,Netherlands,NLD,2015,5203.8,0.41,16.7,51518.36358,17041110
NLD-2016,Netherlands,NLD,2016,5398.93,0.42,16.62,51614.00014,17124512
NLD-2017,Netherlands,NLD,2017,5602.59,0.42,16.55,53975.51307,17207204
NLD-2018,Netherlands,NLD,2018,6009.47,0.42,16.56,55094.98413,17286042
NLD-2019,Netherlands,NLD,2019,6248.15,0.42,16.6,56051.19836,17363260
NZL-2015,New Zealand,NZL,2015,3475.54,0.65,19.04,37839.94915,4590591
NZL-2016,New Zealand,NZL,2016,3734.82,0.66,19.04,39566.31639,4668088
NZL-2017,New Zealand,NZL,2017,3875.54,0.67,19.03,40816.90698,4746253
NZL-2018,New Zealand,NZL,2018,4095.71,0.67,19.03,41276.025,4838528
NZL-2019,New Zealand,NZL,2019,4439.35,0.67,19.04,41935.31099,4959033
NIC-2015,Nicaragua,NIC,2015,421.55,0.17,13.26,5202.01796,6298610
NIC-2016,Nicaragua,NIC,2016,458.3,0.17,13.28,5485.494398,6389237
NIC-2017,Nicaragua,NIC,2017,500.54,0.17,13.29,5592.22327,6480534
NIC-2018,Nicaragua,NIC,2018,500.9,0.17,13.28,5274.26077,6572234
NIC-2019,Nicaragua,NIC,2019,474.52,0.18,13.27,5100.650249,6663919
NER-2015,Niger,NER,2015,61.24,0.08,11.59,1135.40354,20128132
NER-2016,Niger,NER,2016,52.04,0.08,11.61,1127.869386,20921748
NER-2017,Niger,NER,2017,64.86,0.08,11.62,1132.774205,21737924
NER-2018,Niger,NER,2018,65.05,0.08,11.62,1167.996115,22577060
NER-2019,Niger,NER,2019,72.48,0.08,11.63,1175.393952,23443400
NGA-2015,Nigeria,NGA,2015,194.37,0.13,10.71,5529.93672,183995776
NGA-2016,Nigeria,NGA,2016,190.95,0.13,10.71,5255.735015,188666928
NGA-2017,Nigeria,NGA,2017,194.81,0.13,10.72,5065.453608,193495904
NGA-2018,Nigeria,NGA,2018,163.21,0.13,10.72,5189.794615,198387616
NGA-2019,Nigeria,NGA,2019,162.31,0.13,10.72,4893.912405,203304496
NIU-2015,Niue,NIU,2015,1178.73,0.12,11.76,,1871
NIU-2016,Niue,NIU,2016,1070.5,0.12,11.76,,1883
NIU-2017,Niue,NIU,2017,1246.34,0.12,11.76,,1891
NIU-2018,Niue,NIU,2018,1400.97,0.12,11.77,,1907
NIU-2019,Niue,NIU,2019,959.27,0.12,11.77,,1943
MKD-2015,North Macedonia,MKD,2015,876.98,0.15,11.37,14282.36746,2107965
MKD-2016,North Macedonia,MKD,2016,961.88,0.15,11.36,15121.52056,2110194
MKD-2017,North Macedonia,MKD,2017,1035.25,0.15,11.35,15406.23176,2111982
MKD-2018,North Macedonia,MKD,2018,1127.28,0.15,11.34,15644.90953,2113497
MKD-2019,North Macedonia,MKD,2019,1313.56,0.15,11.34,16149.42274,2114175
NOR-2015,Norway,NOR,2015,6142.44,0.49,15.97,61786.89458,5190357
NOR-2016,Norway,NOR,2016,6271.01,0.5,16.03,59399.23907,5236591
NOR-2017,Norway,NOR,2017,6630.84,0.51,16.08,61759.09725,5277396
NOR-2018,Norway,NOR,2018,7009.25,0.51,16.06,64106.10805,5312321
NOR-2019,Norway,NOR,2019,7217.39,0.51,15.98,62544.03236,5348285
OMN-2015,Oman,OMN,2015,1349.44,0.28,13.66,33854.65121,4191784
OMN-2016,Oman,OMN,2016,1260.2,0.28,13.63,30969.10561,4398080
OMN-2017,Oman,OMN,2017,1154.78,0.28,13.61,30184.63382,4541853
OMN-2018,Oman,OMN,2018,1201.93,0.28,13.66,31736.18788,4601160
OMN-2019,Oman,OMN,2019,1160.78,0.28,13.73,29506.57487,4602769
PAK-2015,Pakistan,PAK,2015,117.51,0.12,12.9,4512.615079,210969296
PAK-2016,Pakistan,PAK,2016,127.58,0.12,12.91,4455.776881,213524848
PAK-2017,Pakistan,PAK,2017,132.67,0.12,12.92,4546.150904,216379648
PAK-2018,Pakistan,PAK,2018,155.46,0.13,12.98,4696.738445,219731488
PAK-2019,Pakistan,PAK,2019,165.55,0.13,13.08,4787.469594,223293280
PLW-2015,Palau,PLW,2015,2028.04,0.12,11.68,,17822
PLW-2016,Palau,PLW,2016,2188.93,0.12,11.66,,17840
PLW-2017,Palau,PLW,2017,2163.06,0.13,11.64,,17857
PLW-2018,Palau,PLW,2018,2085.19,0.13,11.64,,17887
PLW-2019,Palau,PLW,2019,2901.93,0.13,11.65,,17939
PAN-2015,Panama,PAN,2015,1724,0.29,12.15,25095.00945,3957102
PAN-2016,Panama,PAN,2016,2037.56,0.29,12.16,27172.08345,4026338
PAN-2017,Panama,PAN,2017,2103.31,0.29,12.18,29040.03199,4096071
PAN-2018,Panama,PAN,2018,2308.35,0.3,12.18,29421.49408,4165258
PAN-2019,Panama,PAN,2019,2490.95,0.3,12.18,29586.34318,4232538
PNG-2015,Papua New Guinea,PNG,2015,72.21,0.08,11.96,,8682172
PNG-2016,Papua New Guinea,PNG,2016,96.67,0.08,11.94,,8899176
PNG-2017,Papua New Guinea,PNG,2017,95.63,0.08,11.91,,9114803
PNG-2018,Papua New Guinea,PNG,2018,97.35,0.08,11.91,,9329233
PNG-2019,Papua New Guinea,PNG,2019,104.61,0.08,11.91,,9542492
PRY-2015,Paraguay,PRY,2015,768.64,0.22,15.82,11665.73651,6177954
PRY-2016,Paraguay,PRY,2016,803.85,0.22,15.83,11962.54195,6266623
PRY-2017,Paraguay,PRY,2017,832.11,0.22,15.84,12212.44795,6355406
PRY-2018,Paraguay,PRY,2018,884.37,0.23,15.84,12337.16595,6443337
PRY-2019,Paraguay,PRY,2019,950.14,0.23,15.84,12135.09958,6530029
PER-2015,Peru,PER,2015,580.98,0.3,13.83,11730.96433,30711864
PER-2016,Peru,PER,2016,606.99,0.3,13.83,11915.95846,31132776
PER-2017,Peru,PER,2017,624.02,0.31,13.83,12152.83928,31605488
PER-2018,Peru,PER,2018,690.16,0.31,13.83,12381.87832,32203946
PER-2019,Peru,PER,2019,711.63,0.31,13.82,12412.81823,32824864
PHL-2015,Philippines,PHL,2015,280.16,0.1,11.96,7082.621076,103031360
PHL-2016,Philippines,PHL,2016,304.67,0.1,11.94,7432.957007,104875272
PHL-2017,Philippines,PHL,2017,321.62,0.11,11.93,7663.489082,106738496
PHL-2018,Philippines,PHL,2018,344.91,0.11,11.93,7937.039951,108568832
PHL-2019,Philippines,PHL,2019,379.24,0.11,11.94,8204.645512,110380800
POL-2015,Poland,POL,2015,1716.9,0.19,10.48,28126.57499,38553148
POL-2016,Poland,POL,2016,1850.92,0.2,10.47,28910.42512,38532108
POL-2017,Poland,POL,2017,1972.37,0.2,10.46,30079.71928,38532816
POL-2018,Poland,POL,2018,2023.38,0.2,10.5,31497.98207,38521464
POL-2019,Poland,POL,2019,2206.54,0.2,10.6,33248.03272,38493600
PRT-2015,Portugal,PRT,2015,2758.88,0.45,18.28,30286.36135,10365436
PRT-2016,Portugal,PRT,2016,2964.8,0.46,18.36,31303.06322,10332751
PRT-2017,Portugal,PRT,2017,3072.32,0.46,18.46,32270.65449,10307528
PRT-2018,Portugal,PRT,2018,3285.7,0.46,18.47,33298.96934,10289833
PRT-2019,Portugal,PRT,2019,3517.72,0.46,18.45,34264.51863,10289921
QAT-2015,Qatar,QAT,2015,2789.95,0.36,13.51,102700.215,2414580
QAT-2016,Qatar,QAT,2016,2698.73,0.37,13.5,96355.06338,2595175
QAT-2017,Qatar,QAT,2017,2731.58,0.37,13.49,105430.8907,2711764
QAT-2018,Qatar,QAT,2018,2446.27,0.37,13.53,110521.7657,2766743
QAT-2019,Qatar,QAT,2019,2736.82,0.37,13.63,103445.1273,2807242
ROU-2015,Romania,ROU,2015,1065.93,0.16,11.15,22062.88339,19906078
ROU-2016,Romania,ROU,2016,1210.83,0.17,11.14,23441.45158,19797820
ROU-2017,Romania,ROU,2017,1398.55,0.17,11.12,25932.89967,19698852
ROU-2018,Romania,ROU,2018,1672.6,0.17,11.11,27323.69259,19606778
ROU-2019,Romania,ROU,2019,1906.59,0.17,11.1,28828.93538,19524212
RUS-2015,Russia,RUS,2015,1288.07,0.17,11.38,26028.33063,144668384
RUS-2016,Russia,RUS,2016,1288.6,0.17,11.37,25379.19828,145109152
RUS-2017,Russia,RUS,2017,1406.2,0.17,11.36,26851.55843,145452544
RUS-2018,Russia,RUS,2018,1570.78,0.17,11.35,29053.48372,145652288
RUS-2019,Russia,RUS,2019,1704.04,0.17,11.32,28773.27475,145742288
RWA-2015,Rwanda,RWA,2015,120.08,0.09,13.05,1886.012237,11642963
RWA-2016,Rwanda,RWA,2016,131.03,0.09,13.07,1912.814942,11930902
RWA-2017,Rwanda,RWA,2017,126.21,0.09,13.09,1956.512699,12230343
RWA-2018,Rwanda,RWA,2018,142.84,0.1,13.08,2046.609932,12531810
RWA-2019,Rwanda,RWA,2019,145.74,0.1,13.08,2135.312516,12835029
KNA-2015,Saint Kitts and Nevis,KNA,2015,1271.22,0.3,15.08,25302.87303,47814
KNA-2016,Saint Kitts and Nevis,KNA,2016,1403.86,0.3,15.08,26010.93372,47814
KNA-2017,Saint Kitts and Nevis,KNA,2017,1419.12,0.3,15.07,25928.52011,47811
KNA-2018,Saint Kitts and Nevis,KNA,2018,1382.91,0.3,15.08,,
KNA-2019,Saint Kitts and Nevis,KNA,2019,1506.51,0.3,15.1,,
LCA-2015,Saint Lucia,LCA,2015,620.8,0.22,14.4,,
LCA-2016,Saint Lucia,LCA,2016,702.05,0.23,14.4,,
LCA-2017,Saint Lucia,LCA,2017,696.13,0.23,14.4,,
LCA-2018,Saint Lucia,LCA,2018,690.31,0.23,14.43,,
LCA-2019,Saint Lucia,LCA,2019,697.71,0.23,14.47,,
VCT-2015,Saint Vincent and the Grenadines,VCT,2015,475.56,0.22,14.38,,
VCT-2016,Saint Vincent and the Grenadines,VCT,2016,518.78,0.22,14.37,,
VCT-2017,Saint Vincent and the Grenadines,VCT,2017,529.55,0.22,14.37,,
VCT-2018,Saint Vincent and the Grenadines,VCT,2018,576.08,0.22,14.39,,
VCT-2019,Saint Vincent and the Grenadines,VCT,2019,620.3,0.22,14.45,,
WSM-2015,Samoa,WSM,2015,337.28,0.1,11.58,,
WSM-2016,Samoa,WSM,2016,343.27,0.1,11.56,,
WSM-2017,Samoa,WSM,2017,361.22,0.1,11.55,,
WSM-2018,Samoa,WSM,2018,354.65,0.1,11.56,,
WSM-2019,Samoa,WSM,2019,433.19,0.1,11.59,,
SMR-2015,San Marino,SMR,2015,3467.58,0.57,15.93,,
SMR-2016,San Marino,SMR,2016,3867.33,0.57,15.94,,
SMR-2017,San Marino,SMR,2017,4251.64,0.56,15.94,,
SMR-2018,San Marino,SMR,2018,4221.51,0.56,15.94,,
SMR-2019,San Marino,SMR,2019,4057.16,0.56,15.94,,
STP-2015,Sao Tome and Principe,STP,2015,204.95,0.11,10.93,,
STP-2016,Sao Tome and Principe,STP,2016,250.12,0.11,10.93,,
STP-2017,Sao Tome and Principe,STP,2017,253,0.11,10.94,,
STP-2018,Sao Tome and Principe,STP,2018,236.9,0.11,10.96,,
STP-2019,Sao Tome and Principe,STP,2019,226.81,0.11,11,,
SAU-2015,Saudi Arabia,SAU,2015,2915.86,0.29,13.7,,
SAU-2016,Saudi Arabia,SAU,2016,2654.3,0.29,13.67,,
SAU-2017,Saudi Arabia,SAU,2017,2962.58,0.29,13.63,,
SAU-2018,Saudi Arabia,SAU,2018,2802.5,0.29,13.65,,
SAU-2019,Saudi Arabia,SAU,2019,2789.56,0.29,13.7,,
SEN-2015,Senegal,SEN,2015,130.22,0.1,10.94,,
SEN-2016,Senegal,SEN,2016,131.06,0.1,10.95,,
SEN-2017,Senegal,SEN,2017,128.06,0.1,10.95,,
SEN-2018,Senegal,SEN,2018,143.17,0.1,10.97,,
SEN-2019,Senegal,SEN,2019,144.8,0.11,11,,
SRB-2015,Serbia,SRB,2015,1312.15,0.15,11.37,,
SRB-2016,Serbia,SRB,2016,1338,0.15,11.39,,
SRB-2017,Serbia,SRB,2017,1366.07,0.15,11.42,,
SRB-2018,Serbia,SRB,2018,1556.73,0.15,11.4,,
SRB-2019,Serbia,SRB,2019,1686.07,0.15,11.38,,
SYC-2015,Seychelles,SYC,2015,1086.45,0.15,10.84,,
SYC-2016,Seychelles,SYC,2016,1316.43,0.15,10.84,,
SYC-2017,Seychelles,SYC,2017,1332.22,0.16,10.84,,
SYC-2018,Seychelles,SYC,2018,1470.19,0.16,10.84,,
SYC-2019,Seychelles,SYC,2019,1468.72,0.16,10.86,,
SLE-2015,Sierra Leone,SLE,2015,326.45,0.09,12.31,,
SLE-2016,Sierra Leone,SLE,2016,277.35,0.09,12.33,,
SLE-2017,Sierra Leone,SLE,2017,153.57,0.09,12.34,,
SLE-2018,Sierra Leone,SLE,2018,141.24,0.09,12.34,,
SLE-2019,Sierra Leone,SLE,2019,157,0.09,12.33,,
SGP-2015,Singapore,SGP,2015,3598.99,0.48,,,
SGP-2016,Singapore,SGP,2016,3894.94,0.48,,,
SGP-2017,Singapore,SGP,2017,4091.44,0.49,,,
SGP-2018,Singapore,SGP,2018,4035.61,0.5,,,
SGP-2019,Singapore,SGP,2019,4102.27,0.5,,,
SVK-2015,Slovakia,SVK,2015,2033.22,0.19,11.25,,
SVK-2016,Slovakia,SVK,2016,2110.64,0.19,11.24,,
SVK-2017,Slovakia,SVK,2017,2038.16,0.19,11.22,,
SVK-2018,Slovakia,SVK,2018,2113.84,0.19,11.21,,
SVK-2019,Slovakia,SVK,2019,2267.09,0.2,11.21,,
SVN-2015,Slovenia,SVN,2015,2688.7,0.19,11.66,,
SVN-2016,Slovenia,SVN,2016,2873.21,0.2,11.66,,
SVN-2017,Slovenia,SVN,2017,2998.32,0.2,11.66,,
SVN-2018,Slovenia,SVN,2018,3334.94,0.2,11.65,,
SVN-2019,Slovenia,SVN,2019,3629.01,0.2,11.63,,
SLB-2015,Solomon Islands,SLB,2015,113.6,0.07,12.25,,
SLB-2016,Solomon Islands,SLB,2016,115.09,0.07,12.23,,
SLB-2017,Solomon Islands,SLB,2017,112.66,0.07,12.21,,
SLB-2018,Solomon Islands,SLB,2018,109.17,0.07,12.21,,
SLB-2019,Solomon Islands,SLB,2019,131.09,0.07,12.23,,
ZAF-2015,South Africa,ZAF,2015,1103.37,0.17,11.95,,
ZAF-2016,South Africa,ZAF,2016,1110.76,0.17,12.01,,
ZAF-2017,South Africa,ZAF,2017,1107.89,0.17,12.07,,
ZAF-2018,South Africa,ZAF,2018,1145.87,0.17,12.05,,
ZAF-2019,South Africa,ZAF,2019,1187.33,0.17,12.01,,
KOR-2015,South Korea,KOR,2015,2531.06,0.37,,,
KOR-2016,South Korea,KOR,2016,2748.95,0.37,,,
KOR-2017,South Korea,KOR,2017,2925.95,0.37,,,
KOR-2018,South Korea,KOR,2018,3232.42,0.38,,,
KOR-2019,South Korea,KOR,2019,3521.33,0.38,,,
SSD-2017,South Sudan,SSD,2017,84.44,0.16,13.3,,
SSD-2018,South Sudan,SSD,2018,64.22,0.16,13.31,,
SSD-2019,South Sudan,SSD,2019,62.99,0.16,13.31,,
ESP-2015,Spain,ESP,2015,3184.99,0.64,18.72,,
ESP-2016,Spain,ESP,2016,3341.17,0.64,18.76,,
ESP-2017,Spain,ESP,2017,3556.87,0.65,18.8,,
ESP-2018,Spain,ESP,2018,3787.7,0.65,18.66,,
ESP-2019,Spain,ESP,2019,3983.93,0.65,18.32,,
LKA-2015,Sri Lanka,LKA,2015,450.91,0.12,11.46,,
LKA-2016,Sri Lanka,LKA,2016,476.46,0.12,11.46,,
LKA-2017,Sri Lanka,LKA,2017,459.25,0.12,11.46,,
LKA-2018,Sri Lanka,LKA,2018,523.52,0.12,11.45,,
LKA-2019,Sri Lanka,LKA,2019,569.57,0.13,11.45,,
SDN-2015,Sudan,SDN,2015,322.55,0.15,16.01,,
SDN-2016,Sudan,SDN,2016,305.39,0.15,15.99,,
SDN-2017,Sudan,SDN,2017,278.69,0.15,15.98,,
SDN-2018,Sudan,SDN,2018,202.41,0.15,15.98,,
SDN-2019,Sudan,SDN,2019,204.54,0.15,15.99,,
SUR-2015,Suriname,SUR,2015,999.57,0.23,15.47,,
SUR-2016,Suriname,SUR,2016,902.66,0.24,15.48,,
SUR-2017,Suriname,SUR,2017,973.22,0.24,15.48,,
SUR-2018,Suriname,SUR,2018,1345.69,0.24,15.47,,
SUR-2019,Suriname,SUR,2019,1680.19,0.24,15.45,,
SWE-2015,Sweden,SWE,2015,5333.4,0.54,15.33,,
SWE-2016,Sweden,SWE,2016,5512.93,0.55,15.33,,
SWE-2017,Sweden,SWE,2017,5655.7,0.55,15.32,,
SWE-2018,Sweden,SWE,2018,6077.04,0.56,15.32,,
SWE-2019,Sweden,SWE,2019,6222.66,0.56,15.33,,
CHE-2015,Switzerland,CHE,2015,7306.93,0.54,17.17,,
CHE-2016,Switzerland,CHE,2016,7738.63,0.54,17.18,,
CHE-2017,Switzerland,CHE,2017,7989.64,0.54,17.18,,
CHE-2018,Switzerland,CHE,2018,8447.56,0.54,17.14,,
CHE-2019,Switzerland,CHE,2019,8532.5,0.54,17.07,,
TJK-2015,Tajikistan,TJK,2015,206.62,0.09,11.08,,
TJK-2016,Tajikistan,TJK,2016,216.9,0.09,11.06,,
TJK-2017,Tajikistan,TJK,2017,222.95,0.09,11.04,,
TJK-2018,Tajikistan,TJK,2018,239.88,0.09,11.04,,
TJK-2019,Tajikistan,TJK,2019,250.77,0.09,11.04,,
TZA-2015,Tanzania,TZA,2015,83.21,0.1,12.55,,
TZA-2016,Tanzania,TZA,2016,95.4,0.1,12.56,,
TZA-2017,Tanzania,TZA,2017,100.21,0.11,12.57,,
TZA-2018,Tanzania,TZA,2018,105.11,0.11,12.58,,
TZA-2019,Tanzania,TZA,2019,99.35,0.11,12.58,,
THA-2015,Thailand,THA,2015,580.35,0.13,12.08,,
THA-2016,Thailand,THA,2016,623.79,0.13,12.07,,
THA-2017,Thailand,THA,2017,669.58,0.14,12.06,,
THA-2018,Thailand,THA,2018,707.59,0.14,12.05,,
THA-2019,Thailand,THA,2019,731.31,0.14,12.04,,
